フラグ名,フラグ説明
#disable-javascript-harmony-shipping,一部のウェブページでは、最新の JavaScript 機能と競合する可能性のあるレガシー JavaScript 拡張機能や非標準の JavaScript 拡張機能を使用しています。このフラグは、そのようなページとの互換性を保つために、それらの機能のサポートを無効にすることを可能にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-javascript-harmony,Webページで実験的なJavaScript機能を使用できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#enable-experimental-webassembly-features,Webページで実験的なWebAssembly機能を使用できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#enable-webassembly-baseline,WebAssemblyのベースラインコンパイルとティアアップを可能にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-webassembly-lazy-compilation,WebAssemblyモジュールの遅延コンパイル(JIT on first call)を可能にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-webassembly-simd,WebAssembly SIMD提案のサポートを可能にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-webassembly-threads,WebAssembly Threads提案のサポートを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-webassembly-tiering,WebAssemblyの階層化コンパイルを有効にします(#enable-webassembly-baselineが有効になっている場合はTurboFanまで階層化されます)。- Mac、Windows、Linux、Chrome OS、Android
#enable-future-v8-vm-features,これにより、今後の V8 VM の実験的な機能を有効にすることができます。このフラグは、実験的な JavaScript 機能を有効にしません。- Mac、Windows、Linux、Chrome OS、Android
#enable-gpu-rasterization,GPUを使ってWebコンテンツをラスタライズ - Mac、Windows、Linux、Chrome OS、Android
#enable-experimental-web-platform-features,開発中のWebプラットフォーム機能を実験的に利用できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#top-chrome-touch-ui,ブラウザのトップクロームでタッチUIのレイアウトを有効にする。- Mac、Windows、Linux、Chrome OS
#disable-accelerated-video-decode,利用可能な場合は、ハードウェアで加速されたビデオデコード。- Mac、Windows、Chrome OS、Android
#disable-accelerated-video-encode,利用可能な場合は、ハードウェアで加速されたビデオエンコード。- Mac、Windows、Chrome OS、Android
#debug-packed-apps,パックされたアプリケーションの Inspect Element などのデバッグ用コンテキストメニューオプションを有効にします。- Mac、Windows、Linux、Chrome OS
#username-first-flow,ユーザー名の保存とユーザー名の最初のフローでのユーザー名の入力をサポート。
#enable-show-autofill-signatures,WebフォームにAutofill署名をHTML属性としてアノテーションします。また、パスワード生成に適したパスワードフィールドをマークします。- Mac、Windows、Linux、Chrome OS、Android
#wallet-service-use-sandbox,開発者向け：Google Payments APIコール用のサンドボックスサービスを使用します。- Mac、Windows、Linux、Chrome OS、Android
#enable-web-bluetooth-new-permissions-backend,Web Bluetooth の新しいパーミッションバックエンドを有効にします。これにより、デバイスのパーミッションの永続的な保存が可能になります。- Mac、Windows、Linux、Chrome OS、Android
#enable-suggestions-with-substring-match,単なる接頭辞ではなく、部分文字列（トークンの接頭辞）に基づいて自動入力候補をマッチさせます。- Mac、Windows、Linux、Chrome OS、Android
#device-discovery-notifications,ローカルネットワーク上のデバイス発見通知 - Mac、Windows、Linux、Chrome OS
#force-enable-privet-printing,印刷プレビューで、既存の登録済みのPrivetプリンタへの印刷を強制的に有効にするオーバーライド。M90では削除されます。- Mac、Windows、Linux、Chrome OS
#enable-webgl-draft-extensions,このオプションを有効にすると、Webアプリケーションはまだドラフト状態にあるWebGL拡張機能にアクセスできるようになります。- Mac、Windows、Linux、Chrome OS、Android
#enable-zero-copy,ラスタースレッドはタイルに関連付けられたGPUメモリに直接書き込みます。- Mac、Windows、Linux、Chrome OS、Android
#override-language-prefs-for-href-translate,hrefTranslateを使用する場合、翻訳すべきでない言語のユーザーのブロックリストを無視します。- Mac、Windows、Linux、Chrome OS、Android
#override-site-prefs-for-href-translate,hrefTranslateを使用する場合、翻訳すべきでないウェブサイトのユーザーのブロックリストを無視します。- Mac、Windows、Linux、Chrome OS、Android
#enable-native-notifications,ネイティブ通知トーストと通知センターが利用可能なプラットフォームで、ネイティブ通知トーストと通知センターを使用するためのサポートを有効にします。- Mac、Windows、Linux
#in-product-help-demo-mode-choice,製品内ヘルプのデモモードを選択します。- Mac、Windows、Linux、Chrome OS、Android
#disable-threaded-scrolling,スクロール関連の入力イベントのスレッド処理。これを無効にすると、そのようなスクロールイベントはすべてメインスレッドで処理されるようになります。これはほとんどのウェブサイトのスクロールパフォーマンスを劇的に低下させる可能性があることに注意してください。- Mac、Windows、Linux、Chrome OS、Android
#isolate-origins,カンマ区切りのリストとして指定された追加のオリジンのセットに専用のプロセスが必要です。- Mac、Windows、Linux、Chrome OS、Android
#site-isolation-trial-opt-out,サイト分離(SitePerProcess、IsolateOriginsなど)を無効にします。プロセス外の iframe に起因する可能性のあるバグを診断することを目的としています。サイト分離がコマンドラインスイッチを使って強制的に有効化されている場合や、エンタープライズポリシーを使っている場合は、オプトアウトの効果はありません。注意: これにより、ほとんどのコンピュータに影響を及ぼす Spectre CPU の脆弱性に対する重要な緩和策が無効になります。- Mac、Windows、Linux、Chrome OS、Android
#allow-previews,特定のプレビュー タイプが有効になっていること、およびクライアントが特定のトリガー条件を経験していることを条件に、プレビューを表示できるようにします。すべての可能性のあるプレビュータイプをオフにするためのキルスイッチとして使用することができます。- Mac、Windows、Linux、Chrome OS、Android
#ignore-previews-blocklist,"PreviewsBlockListによる決定を無視する - Mac, Windows, Linux, Chrome OS, Android"
#enable-data-reduction-proxy-server-experiment,バックエンドサーバーを設定することで、データを保存するための異なるアプローチを可能にする - Mac、Windows、Linux、Chrome OS、Android
#enable-login-detection,ヒューリスティックに基づいてユーザーのサインインを検出できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#enable-preconnect-to-search,ユーザーのデフォルトの検索エンジンにプリコネクティングする機能を有効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-noscript-previews,遅いネットワーク上の一部のページでJavaScriptを無効にする。- Mac、Windows、Linux、Chrome OS、Android
#enable-resource-loading-hints,サーバーが提供するリソース読み込みヒントを使用して、遅いネットワーク接続上でプレビューを提供することを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-previews-coin-flip,プレビューのコインフリップ実験を可能にする - Mac、Windows、Linux、Chrome OS、Android
#enable-google-srp-isolated-prerender-probing,コミットをブロックする Isolated Prerenders のプロービングチェックを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-google-srp-isolated-prerenders,Google SRP上のナビゲーション予測を完全に分離できるようにする。- Mac、Windows、Linux、Chrome OS、Android
#enable-google-srp-isolated-prerender-nsp,分離されたプリレンダで NoStatePrefetch を有効にします。- Mac、Windows、Linux、Chrome OS、Android
#bypass-app-banner-engagement-checks,ユーザーが以前にサイトを訪問したことがあることや、最近バナーが表示されていないことを要求するなど、アプリバナーを表示するためのユーザーエンゲージメントチェックをバイパスします。これにより、開発者は、マニフェストの有無など、アプリバナーを表示するための他の要件が満たされているかどうかをテストすることができます。- Mac、Windows、Linux、Chrome OS、Android
#enable-desktop-pwas-local-updating,サイトマニフェストデータが変更されたときに、インストールされているPWAがアプリマニフェストデータを更新できるようにします。- Mac、Windows、Linux、Chrome OS
#enable-desktop-pwas-tab-strip,タブストリップを使ってPWAウィンドウがどのように見えるかを探る実験的なUI。- Mac、Windows、Linux、Chrome OS
#enable-desktop-pwas-tab-strip-link-capturing,アプリスコープ内のリンクナビゲーションをキャプチャし、アプリのタブ付きウィンドウに取り込む「Desktop PWA tab strips」の実験的な挙動。- Mac、Windows、Linux、Chrome OS
#enable-desktop-pwas-migration-user-display-mode-clean-up,クリーンアップコードを実行して、ウィンドウ/ブラウザタブの起動環境設定が正しく移行されていないウェブアプリを修正します。問題 https://crbug.com/1125020 を参照してください。- Mac、Windows、Linux、Chrome OS
#use-sync-sandbox,Chrome Syncのテストサーバーに接続します。- Mac、Windows、Linux、Chrome OS、Android
#load-media-router-component-extension,起動時にMedia Routerコンポーネント拡張機能をロードします。- Mac、Windows、Linux、Chrome OS
#media-router-cast-allow-all-ips,メディアルーターがRFC1918/RFC4193のプライベートアドレスだけでなく、すべてのIPアドレスでキャストデバイスに接続できるようにします。- Mac、Windows、Linux、Chrome OS
#cast-media-route-provider,Media Router コンポーネント拡張の実装の代わりに、キャストメディアルートプロバイダのネイティブ実装を使用できるようにします。- Mac、Windows、Linux、Chrome OS
#global-media-controls-cast-start-stop,キャストダイアログに依存するのではなく、キャストセッションの開始や停止を制御するためのグローバルなメディアコントロールを可能にします。- Mac、Windows、Linux
#allow-all-sites-to-initiate-mirroring,この機能を有効にすると、すべてのWebサイトがPresentation API経由でタブミラーリングを開始するようにリクエストできるようになります。この機能を有効にするには、#cast-media-route-providerも有効にする必要があります - Mac、Windows、Linux、Chrome OS
#enable-migrate-default-chrome-app-to-web-apps-gsuite,デフォルトでインストールされている G Suite Chrome アプリの対応するウェブアプリへの移行を有効にします。- Mac、Windows、Linux、Chrome OS
#enable-migrate-default-chrome-app-to-web-apps-non-gsuite,デフォルトでインストールされている非G Suite Chromeアプリの対応するウェブアプリへの移行を有効にします。- Mac、Windows、Linux、Chrome OS
#mac-syscall-sandbox,macOSのサンドボックスがシステムコールをフィルタリングするかどうかを制御します。- マック
#mac-v2-gpu-sandbox,macOSのGPUプロセスがV1またはV2のサンドボックスを使用するかどうかを制御します。- マック
#system-keyboard-lock,ウェブサイトが keyboard.lock() API を使用してシステムのキーボードショートカットを傍受し、フルスクリーンモードのときにイベントを直接ウェブサイトにルーティングできるようにします。- Mac、Windows、Linux、Chrome OS
#disallow-doc-written-script-loads,document.write でメインフレームに挿入されたサードパーティ製パーサブロックスクリプトのフェッチを無効にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-credit-card-upload,Google Paymentsにクレジットカードをアップロードして、すべてのChromeデバイスと同期するための新しいオプションを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#force-ui-direction,UI言語のデフォルトの方向を上書きして、UIを左から右(LTR)または右から左(RTL)モードに明示的に強制します。- Mac、Windows、Linux、Chrome OS、Android
#force-text-direction,UIテキストの文字毎の方向性を、文字言語のデフォルトの方向性を上書きして、左から右（LTR）または右から左（RTL）モードに明示的に強制します。- Mac、Windows、Linux、Chrome OS、Android
#enable-tls13-early-data,このオプションは TLS 1.3 Early Data を有効にし、互換性のある TLS 1.3 サーバへの接続を再開する際にハンドシェイク中に GET リクエストを送信できるようにします。- Mac、Windows、Linux、Chrome OS、Android
#PasswordImport,パスワード設定のインポート機能 - Mac、Windows、Linux、Chrome OS、Android
#enable-force-dark,ダークなテーマを使ってすべてのWebコンテンツを自動的にレンダリングする - Mac、Windows、Linux、Chrome OS、Android
#enable-experimental-accessibility-language-detection,ページ内コンテンツの言語検出を有効にして、スクリーンリーダーなどの支援技術に表示します。- Mac、Windows、Linux、Chrome OS、Android
#enable-experimental-accessibility-language-detection-dynamic,動的コンテンツの言語検出を有効にして、スクリーンリーダーなどの支援技術に表示します。- Mac、Windows、Linux、Chrome OS、Android
#enable-immersive-fullscreen-toolbar,フルスクリーンでツールバーを自動的に非表示にして表示します。- Macの場合
#enable-experimental-fling-animation,Windows上のネイティブアプリの動作に基づいたタッチフリングカーブの使用を可能にします。- Mac、Windows、Linux、Chrome OS、Android
#enable-web-payments-experimental-features,実験的なWebペイメントAPI機能を有効にする - Mac、Windows、Linux、Chrome OS、Android
#enable-web-payments-minimal-ui,支払い要求APIが、適切な場合に支払い要求UIに代わる最小限のUIを開くことができるようにします。- Mac、Windows、Linux、Chrome OS、Android
#enable-debug-for-store-billing,TWA内のアプリストアでの購入（Google Playストアなど）は、支払い要求APIを使用して要求することができます。このフラグにより、TWAはアプリストアからインストールしなければならないという制約がなくなります。- Mac、Windows、Linux、Chrome OS、Android
#enable-debug-for-secure-payment-confirmation,このフラグは、WebAuthnのPaymentCredentialとPaymentRequest APIのセキュアな支払い確認では、ユーザー検証用のプラットフォーム認証子を使用しなければならないという制限を解除します。- Mac、Windows、Linux、Chrome OS、Android
#fill-on-account-select,ページロード時にクレデンシャルを自動入力するのではなく、ユーザーが明示的にアカウントを選択した場合にパスワードを入力するようにしました。- Mac、Windows、Linux、Chrome OS、Android
#enable-generic-sensor-extra-classes,Generic Sensor APIに基づいたセンサクラスの追加セットを有効にし、これまで利用できなかったプラットフォーム機能（AmbientLightSensorや磁力計インターフェイスなど）を公開します。- Mac、Windows、Linux、Chrome OS、Android
#enable-autofill-credit-card-ablation-experiment,有効にした場合、クレジットカードの自動入力候補は表示されません。- Mac、Windows、Linux、Chrome OS、Android
#new-usb-backend,"macOSとWindows用の新しい実験的なUSBバックエンドを有効にする - Mac, Windows"
#omnibox-clobber-triggers-contextual-web-zero-suggest,この機能を有効にすると、ユーザーがオムニボックスのテキスト全体をクリアすると（Backspaceなどで）、Chromeは他のページの分類（コンテクストウェブ）に対してZeroSuggestの提案を要求するようになります。- Mac、Windows、Linux、Chrome OS
#omnibox-on-device-head-suggestions-incognito,Googleの頭の非パーソナライズされた検索提案は、インコグニートのためのデバイスモデル上のコンパクトな提供 - Mac、Windows、Linux、Chrome OS、Androidの
#omnibox-on-device-head-suggestions-non-incognito,Googleの頭の非パーソナライズされた検索提案は、非認知者のためのデバイスモデル上のコンパクトな提供 - Mac、Windows、Linux、Chrome OS、アンドロイド
#omnibox-on-focus-suggestions-contextual-web,オープンウェブ上で、現在のURLに焦点を当てたサジェストを有効にします。ユーザーがサインインして同期している場合、または現在のページのURLをサジェストサーバーに送信する資格がある場合にのみ機能します。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-local-zero-suggest-frecency-ranking,ローカル履歴のゼロプレフィックス提案のためのフリークエンシーランキングを有効にする - Mac、Windows、Linux、Chrome OS、Android
#omnibox-trending-zero-prefix-suggestions-on-ntp,検索履歴がない、または不十分な場合に、サインインしたユーザーに対して、トレンドのゼロプレフィックスの提案を可能にします。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-experimental-keyword-mode,キーワードモードやその提案、レイアウトに関する様々な実験的な機能を有効にします。- Mac、Windows、Linux、Chrome OS
#omnibox-short-bookmark-suggestions,非常に短い入力単語をブックマークサジェストの単語の先頭にマッチさせます。- Mac、Windows、Linux、Chrome OS
#omnibox-tab-switch-suggestions,URL提案を有効にして、ウェブサイトが既に開いているタブにユーザーを誘導することができます。- Mac、Windows、Linux、Chrome OS
#omnibox-suggestion-button-row,キーワード検索、タブスイッチボタン、ペダルなどの実行可能なアイテムを表示するために、オムニボックスのサジェストのボタン行を有効にします。- Mac、Windows、Linux、Chrome OS
#omnibox-pedal-suggestions,Omnibox Pedal サジェストを有効にすると、ユーザーの意図を検出し、最終ゴールへの直接アクセスを提供することで、Chrome内のアクションを加速させることができます。このフラグは、「オムニボックス サジェスト ボタンの行」も有効にしていない限り、何の効果もありません。- Mac、Windows、Linux、Chrome OS
#omnibox-keyword-search-button,"オムニボックスから特定のサイトを検索する方法を提供するオムニボックスキーワード検索ボタンを有効にします。このフラグは、""Omnibox suggestion button row ""も有効になっていない限り、何の効果もありません。- Mac、Windows、Linux、Chrome OS"
#omnibox-refined-focus-state,フォーカスやホバーの状態を示すUIの新しい変更を有効にします。- Mac、Windows、Linux、Chrome OS
#omnibox-drive-suggestions,Googleをデフォルトの検索エンジンとしている場合に、オムニボックスにGoogle Driveドキュメントのサジェストを表示します。- Mac、Windows、Linux、Chrome OS
#omnibox-rich-autocompletion,タイトルとプレフィックス以外の自動補完を許可します。つまり、タイトルやURLが連続したチャンクとしてユーザの入力を含むサジェストは、必ずしもプレフィックスである必要はありませんが、デフォルトのサジェストにすることができます。一般的には、URLがユーザの入力によって接頭辞が付けられているサジェストのみが対象となります。4つのパラメータを切り替えることができます。1) 'Title UI' はタイトルを表示する、2) '2-Line UI' は 2 行目にタイトル (およびタイトルを自動補完する場合は URL) を含む、3) 'Title AC' はタイトルを自動補完する、4) 'Non-Prefix AC' はプレフィックス以外のものを自動補完する、という 4 つのパラメータをトグルします。- Mac、Windows、Linux、Chrome OS
#omnibox-rich-autocompletion-min-char,リッチオートコンプリートを起動するための最小入力文字長を指定します。- Mac、Windows、Linux、Chrome OS
#omnibox-rich-autocompletion-show-additional-text,入力がURLやタイトルと一致した場合に、サジェストのタイトルやURLの追加テキストをそれぞれ表示します。デフォルトは true です。- Mac、Windows、Linux、Chrome OS
#omnibox-rich-autocompletion-split,ユーザ入力を分割して自動補完と混合することを許可します; 例えば、ユーザ入力 'x z' を 'x [y ]z' として自動補完することができます。- Mac、Windows、Linux、Chrome OS
#omnibox-rich-autocompletion-promising,タイトルと接頭辞以外の自動補完を許可します。- Mac、Windows、Linux、Chrome OS
#omnibox-bookmark-paths,"ブックマークのパスにマッチする入力を許可します。例えば、'planets jupiter'は'惑星'を含むパスにある'Jupiter'というタイトルのブックマークを提案することができます。- Mac, Windows, Linux, Chrome OS"
#force-color-profile,オペレーティング システムで指定されたウィンドウの現在のモニターの色ではなく、特定のカラー プロファイルを Chrome で強制的に使用します。- Mac、Windows、Linux、Chrome OS、Android
#force-effective-connection-type,ネットワーク品質推定子が返す現在の接続の実効接続タイプをオーバーライドします。Slow 2G on Cellularは、セルラーネットワークに接続されている場合はSlow 2Gを返し、セルラーネットワークに接続されていない場合は実際の推定有効接続タイプを返します。プレビューは通常、2G ネットワークで提供されます。- Mac、Windows、Linux、Chrome OS、Android
#forced-colors,ウェブコンテンツの強制カラーモードを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#memlog,サンプリングされたメモリ割り当てプロファイルを記録するヒーププロファイリングサービスを開始します。サンプリングの分解能は --memlog-sampling-rate フラグで制御します。記録されたヒープダンプは chrome://tracing [category:memory-infra] と chrome://memory-internals で取得できます。この設定は、どのプロセスを開始時からプロファイル化するかを制御します。後で任意のプロセスをプロファイルするには、chrome://memory-internals ページを使用してください。- Mac、Windows、Linux、Chrome OS、Android
#memlog-sampling-rate,ヒーププロファイリングサービスは、ポアソンプロセスを使用してアロケーションをサンプリングします。サンプル間隔のデフォルト値は100000(100KB)です。これにより、大規模かつ/または頻繁なアロケーション[size * frequency >> 100KB]ではノイズが少なくなります。これは、集約された数値[例えば、mallocされたオブジェクトの合計サイズ]と、大規模なおよび/または頻繁なアロケーションを高い信頼性で信頼できることを意味します。インターバルが低いほど、より高いサンプル解像度が得られますが、より高いパフォーマンスオーバーヘッドを犠牲にしています。- Mac、Windows、Linux、Chrome OS、Android
#memlog-stack-mode,デフォルトでは、ヒーププロファイリングサービスはネイティブスタックを記録します。スタックをシンボル化するためには、後処理のステップが必要です。スレッド名でネイティブ」は、各ネイティブスタックの最初のフレームとしてスレッド名を追加します。トレースイベントを識別子として使用して擬似的にスタックを記録することも可能です。両方を混在させることも可能です。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-ui-sometimes-elide-to-registrable-domain,オムニボックスでは、ヒューリスティックに応じて、サブドメインだけでなく、定常状態で表示されているURLからパス、クエリ、参照を非表示にすることがあります。omnibox-ui-reveal-steady-state-url-path-query-and-ref-on-hoverまたは#omnibox-ui-hide-steady-state-url-path-query-and-ref-on-interactionのうち少なくとも1つが有効になっていない限り、何の効果もありません。- Mac、Windows、Linux、Chrome OS
#omnibox-ui-reveal-steady-state-url-path-query-and-ref-on-hover,オムニボックスでは、ホバー上に表示された定常状態のURLのパス、クエリ、参照を明らかにします。- Mac、Windows、Linux、Chrome OS
#omnibox-ui-hide-steady-state-url-path-query-and-ref-on-interaction,オムニボックスでは、ユーザーがページを操作した際に、定常状態で表示されたURLのパス、クエリ、参照を非表示にすることができます。- Mac、Windows、Linux、Chrome OS
#omnibox-max-zero-suggest-matches,ゼロサジェストが有効な場合（つまり、入力なしでサジェストを表示する場合）に表示されるオートコンプリートマッチの最大数を変更します。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-ui-max-autocomplete-matches,Omnibox UI で表示されるオートコンプリートマッチの最大数を変更します。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-max-url-matches,置換されていない場合を除き、表示するURLマッチ数の最大値です。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-dynamic-max-autocomplete,Omnibox UIに表示されるオートコンプリートマッチの最大数を、URLマッチ数に基づいて動的に設定します。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-bubble-url-suggestions,URLの上の検索をグループ化した後のURLサジェストのバブリングを設定します。- Mac、Windows、Linux、Chrome OS、Android
#omnibox-webui-omnibox-popup,有効にすると、WebUI を使用してオムニボックスの提案ポップアップをレンダリングします。- Mac、Windows、Linux、Chrome OS
#block-insecure-private-network-requests,安全でないコンテキストが、よりプライベートな IP アドレスに対してサブリソース要求を行うことを防ぎます。IP アドレス IP1 は、1) IP1 がローカルホストで IP2 がそうでない場合、または 2) IP1 がプライベートで IP2 がパブリックである場合、IP2 よりもプライベートな IP アドレスです。これは、CORS-RFC1918 の完全施行に向けた第一歩です： https://wicg.github.io/cors-rfc1918 - Mac、Windows、Linux、Chrome OS、Android
#force-empty-CORB-and-CORS-allowlist,CORB および CORS の許可リストからすべての Chrome 拡張機能を削除します。許可リストとコンテンツ スクリプトのセキュリティ モデルの変更の詳細については、https://www.chromium.org/Home/chromium-security/extension-content-script-fetches - Mac、Windows、Linux、Chrome OS を参照してください。
#cross-origin-opener-policy-reporting,クロスオリジンオープナーポリシーのレポートを有効にする - Mac、Windows、Linux、Chrome OS、Android
#cross-origin-opener-policy-access-reporting,クロスオリジンオープナーポリシーのアクセスレポートを可能にする - Mac、Windows、Linux、Chrome OS、Android
#cross-origin-isolated,"いくつかの BrowsingContext グループを ""crossOriginIsolated"" としてマークします。これらのグループは、互換性のある {Origin,COOP,COEP} のセットを使用しているドキュメントのみをホストすることができ、効果的に隔離されています。- Mac、Windows、Linux、Chrome OS、Android"
#delay-async-script-execution,非同期スクリプトの実行が遅延します。- Mac、Windows、Linux、Chrome OS、Android
#delay-competing-low-priority-requests,優先度の低いリクエストは、優先度の高いリクエストと競合する場合には遅延します。- Mac、Windows、Linux、Chrome OS、Android
#intensive-wake-up-throttling,有効にすると、DOM タイマーからのウェイクアップは、5 分間非表示にしたページで 1 分間に 1 つに制限されます。詳細は https://www.chromestatus.com/feature/4718288976216064 を参照してください。- Mac、Windows、Linux、Chrome OS、Android
#read-later,ユーザーがタブを後から保存できるようにする 後で保存したタブにアクセスするための新しいボタンとメニューを有効にします。- Mac、Windows、Linux、Chrome OS、Android
#tab-groups-auto-create,タブグループが有効になっている場合、ユーザーのグループを自動的に作成します。- Mac、Windows、Linux、Chrome OS
#tab-groups-collapse,タブグループが有効になっている場合、タブグループを折りたたみ・拡張できるようにします。- Mac、Windows、Linux、Chrome OS
#tab-groups-collapse-freezing,タブグループの折りたたみ時にタブがフリーズすることを実験的に確認しました。- Mac、Windows、Linux、Chrome OS
#scrollable-tabstrip,タブストリップに収まらなくなったタブにスクロールでアクセスできるようにします。- Mac、Windows、Linux、Chrome OS
#scrollable-tabstrip-buttons,スクロール可能タブストリップフラグを有効にすると、ボタンをタブストリップに永続的に表示できるようになります。- Mac、Windows、Linux、Chrome OS
#side-panel,サイドパネルでコンテンツをホストします。- Mac、Windows、Linux、Chrome OS
#promo-browser-commands,NTPプロモから送信されるブラウザコマンドを実行可能にする - Mac、Windows、Linux、Chrome OS、Android
#ntp-iframe-one-google-bar,iframeでのOneGoogleBarの読み込みを有効にします。そうでない場合、OneGoogleBarはchrome://new-tab-page上でインラインで読み込まれます。- Mac、Windows、Linux、Chrome OS
#ntp-one-google-bar-modal-overlays,そうでない場合は、クリップパス定義を使用して、OneGoogleBarの可視要素を持たない部分をクリップして切り離します。- Mac、Windows、Linux、Chrome OS
#ntp-repeatable-queries,新規タブページで、最も訪問したタイルとして繰り返しクエリを浮上させることができます。- Mac、Windows、Linux、Chrome OS
#ntp-webui,WebUIの新規タブページはローカルNTPの代わりになる。- Mac、Windows、Linux、Chrome OS
#ntp-modules,新規タブページにモジュールを表示します。- Mac、Windows、Linux、Chrome OS
#ntp-recipe-tasks-module,新規タブページにレシピタスクモジュールを表示します。- Mac、Windows、Linux、Chrome OS
#ntp-shopping-tasks-module,新規タブページにショッピングタスクモジュールを表示します。- Mac、Windows、Linux、Chrome OS
#enable-pixel-canvas-recording,ピクセル キャンバス録画では、コンポジッターがピクセルに沿ったラスタ コンテンツを作成し、テキストのレンダリングを向上させることができます。この機能は、デバイスが小数スケールファクタを使用している場合に有効にする必要があります。- Mac、Windows、Linux、Chrome OS
#enable-parallel-downloading,並列ダウンロードを有効にしてダウンロード速度を高速化 - Mac、Windows、Linux、Chrome OS、Android
#enable-pointer-lock-options,ポインタロックの unadjustedMovement を有効にします。unadjustedMovementがtrueに設定されている場合、ポインタの動きは、マウスの加速度などの基礎となるプラットフォームの変更の影響を受けません。- Mac、Windows、Linux、Chrome OS
#enable-new-download-backend,オフラインコンテンツプロバイダを使用する新しいダウンロードバックエンドを有効にする - Mac、Windows、Linux、Chrome OS、Android
